date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:41:02	774683/774683	---M-Z	200	added ('OK')	text/html	etag:W/%22f1d1fef2ffeee1817a0f6c1ce3a2e27c%22	https://www.merlinshredding.com/	C:/Users/thega/Downloads/Test/www.merlinshredding.com/index.html	(from )
07:41:02	508/508	---M-Z	200	added ('OK')	text/plain	date:Tue,%2009%20Dec%202025%2010:39:46%20GMT	https://www.merlinshredding.com/robots.txt		(from )
07:41:02	0/0	---M--	301	error ('Moved%20Permanently')	image/jpeg	date:Tue,%2009%20Dec%202025%2012:41:02%20GMT	http://static1.squarespace.com/static/6047e4c6dfc6544ed63c758e/t/606c221769249347dfe9c83d/1617699355678/cover-02.jpg?format=1500w	C:/Users/thega/Downloads/Test/static1.squarespace.com/static/6047e4c6dfc6544ed63c758e/t/606c221769249347dfe9c83d/1617699355678/cover-02.026f7.delayed	(from https://www.merlinshredding.com/)
07:41:06	19322/19322	---M--	200	added ('OK')	text/javascript	date:Tue,%2009%20Dec%202025%2012:41:03%20GMT	http://use.typekit.net/ik/G5nEeSMuu9ULzK4GLPOA0-rIjLKYCrRrAqpQnYx36qqfelJIfFHN4UJLFRbh52jhWDj3F2i8FewhZeZRFR9XFemqFRFRFD9tZs7-MkG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcBDOcu8OfG0j14zd1T8OAZCdai8SKuy-hsaO1FUiABkZWF3jAF8OcFzdP37O1FUiABkZWF3jAF8ShFGZAsude80ZkoRdhXCjAFu-WsoShFGZAsude80ZkoRdhXCjAFu-WsoShFGZAsude80Zko0ZWbCjWw0dA9Cj14zd1T8OAZCdai8SKuy-hsaO1FUiABkZWF3jAF8OcFzdPUCdhFydeyzSabCdAmkde80ShykZAsq-Ao1OcFzdPUDSWmyScmDSeBRZWFR-emqiAUTdcS0jhNlOYiaikoyjamTiY8Djhy8ZYmC-Ao1OcFzdPUaiaS0jAFu-WsoShFGZAsude80Zko0ZWbCiaiaOcBDOcu8OYiaikoKScN0pc9lZcUzihmkOABnZYS0SaBujW48Sagyjh90jhNlOYiaikolZW4C-AoD-Y48ZesTdcS0jhNlOYiaikoDSWmyScmDSeBRZWFR-emqiAUTdcS0jhNlJ6U3ScNt-AuyOAozicIKfcl8SeU8SKuDieb7fbRKHyMMeMw6MKG4fHvgIMMjgfMfH6GJCwbgIMMjgPMfH6qJnbIbMg6eJMJ7fbKOMsMMeMS6MKG4f5w7IMMj2PMfH6qJCMIbMg65JMJ7fbK0MsMMegM6MKG4fJ3gIMMjIPMfH6qJqqXbMs6BJMHbMZHftHXe.js	C:/Users/thega/Downloads/Test/use.typekit.net/ik/G5nEeSMuu9ULzK4GLPOA0-rIjLKYCrRrAqpQnYx36qqfelJIfFHN4UJLFRbh52jhWDj3F2i8FewhZeZRFR9XFemqFRFRFD9tZs7-MkG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcBDOcu8OfG0j14zd1T8OAZ	(from https://www.merlinshredding.com/)
07:41:08	42387/42387	---M--	200	added ('OK')	text/javascript	etag:%22848ddcc7a5193f9dbeb177386b6c0dda%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	C:/Users/thega/Downloads/Test/assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	(from https://www.merlinshredding.com/)
07:41:13	44836/44836	---M--	200	added ('OK')	text/javascript	etag:%22ed4c8d6562f27dd12ea7149c3714a97f%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-4a98261b40dbacc4-min.en-US.js	C:/Users/thega/Downloads/Test/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-4a98261b40dbacc4-min.en-US.js	(from https://www.merlinshredding.com/)
07:41:13	73576/73576	---M--	200	added ('OK')	image/jpeg	etag:CPqgjduf6e8CEAE=	https://images.squarespace-cdn.com/content/6047e4c6dfc6544ed63c758e/1617699352192-3JKIALA1J6R0EFWW4XAL/cover-02.jpg?content-type=image%2Fjpeg	C:/Users/thega/Downloads/Test/images.squarespace-cdn.com/content/6047e4c6dfc6544ed63c758e/1617699352192-3JKIALA1J6R0EFWW4XAL/cover-02ee8a.jpg	(from https://www.merlinshredding.com/)
07:41:21	117609/117609	---M--	200	added ('OK')	text/javascript	etag:%22fe0d53a94823df972dbf107bf190771a%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	C:/Users/thega/Downloads/Test/assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	(from https://www.merlinshredding.com/)
07:41:28	91514/91514	---M--	200	added ('OK')	text/javascript	etag:%220954d3e190bd3f089872c4b0798c8b40%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-22ed584d99d9b83d-min.en-US.js	C:/Users/thega/Downloads/Test/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-22ed584d99d9b83d-min.en-US.js	(from https://www.merlinshredding.com/)
07:41:53	245912/245912	---M--	200	added ('OK')	text/javascript	etag:%2271fa227a435b24aec95da4f5e620f00f%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-fbd854d40b0804b7-min.en-US.js	C:/Users/thega/Downloads/Test/assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-fbd854d40b0804b7-min.en-US.js	(from https://www.merlinshredding.com/)
